Group Name,Year,Month,Date,Weekday,Time,Who,Chat Content,CharCount,Processed Content,Category,Subcategory
Nottingham 🇬🇧港人互助區,2024,October,15,Tuesday,12:34:32,homelala,市中心or Beeston 的東方行 同 NG3 間Asiana Hypermarket 都算多呢類貨。 下次去開幫你望下👌🏻,63,homelala: 市中心or Beeston 的東方行 同 NG3 間Asiana Hypermarket 都算多呢類貨。 下次去開幫你望下👌🏻,Uncategorized,Uncategorized
Nottingham 🇬🇧港人互助區,2024,October,15,Tuesday,12:29:03,homelala,"冇特別留意，不過所有中超都有一格買煲湯藥材，有時冇可能只係剛剛賣晒，所以如果急用，建議上網買

https://www.wanahong.co.uk/product/華南行-五指毛桃-100g/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=Google+Product+Feed+-+EN&gad_source=1&gbraid=0AAAAABVeL35Ui6fQ6hDjk2LSUDemHKBmq&gclid=CjwKCAjwpbi4BhByEiwAMC8JnbKUkv4bPU1O57neW7NDdvUoT0EmcMmuq6ypg4Z-RENGI9Gp8ztmsRoC_2kQAvD_BwE",330,"homelala: 冇特別留意，不過所有中超都有一格買煲湯藥材，有時冇可能只係剛剛賣晒，所以如果急用，建議上網買

https |//www.wanahong.co.uk/product/華南行-五指毛桃-100g/?utm_source=Google+Shopping&utm_medium=cpc&utm_campaign=Google+Product+Feed+-+EN&gad_source=1&gbraid=0AAAAABVeL35Ui6fQ6hDjk2LSUDemHKBmq&gclid=CjwKCAjwpbi4BhByEiwAMC8JnbKUkv4bPU1O57neW7NDdvUoT0EmcMmuq6ypg4Z-RENGI9Gp8ztmsRoC_2kQAvD_BwE",Uncategorized,Uncategorized
Nottingham 🇬🇧港人互助區,2024,October,15,Tuesday,10:55:06,imfinethankyouwhoareyou,"或者大家有無見過有五指毛桃賣?
thanks",22,"imfinethankyouwhoareyou: 或者大家有無見過有五指毛桃賣?
thanks",Uncategorized,Uncategorized
Nottingham 🇬🇧港人互助區,2024,October,15,Tuesday,10:53:45,imfinethankyouwhoareyou,"唔好意思想問下
nottingham有無中成藥買?
thanks",32,"imfinethankyouwhoareyou: 唔好意思想問下
nottingham有無中成藥買?
thanks",Uncategorized,Uncategorized
Nottingham 🇬🇧港人互助區,2024,October,14,Monday,18:01:16,,中國人式的英文，我地識條鐵咩？😂😂,17,nan: 中國人式的英文，我地識條鐵咩？😂😂,Uncategorized,Uncategorized
Nottingham 🇬🇧港人互助區,2024,October,14,Monday,16:01:19,homelala,"我認我笑位比較低。不過呢個Go back to China 真係好笑

https://youtu.be/n0BW7P9yiPU?si=PdYcAkFlXOt7me2v",84,"homelala: 我認我笑位比較低。不過呢個Go back to China 真係好笑

https |//youtu.be/n0BW7P9yiPU?si=PdYcAkFlXOt7me2v",Uncategorized,Uncategorized
Nottingham 🇬🇧港人互助區,2024,October,13,Sunday,18:16:55,GetALifeLa,"有香港人參加咗個MMA慈善比賽11月22號係Derby DE24 3DH，幫香港監察籌款。大會要求參加者要籌到£50同賣出十張飛先可以打比賽。

現在已經有8人買了票。
還欠兩票

如果想去睇，大家要盡快買飛，10月14日前不足夠10票，正仔無得打。 記得打 Siu

想請大家幫個忙🙏，分享這個以下阿正的連接👇🏻及訊息給有興趣去睇嘅朋友。記得打 Siu

https://www.ultratickets.co.uk/events/ultra-mma-derby-burton-22-11-2024/?fbclid=IwZXh0bgNhZW0CMTEAAR3sugOLjrqqrQfRWZcTVzlX1bKQ9cz3z8_Dpgkj1ex76Kn1OmtsGsd_CGY_aem_SJ0RHKNfC6lKLZLt9RDP-A",363,"GetALifeLa: 有香港人參加咗個MMA慈善比賽11月22號係Derby DE24 3DH，幫香港監察籌款。大會要求參加者要籌到£50同賣出十張飛先可以打比賽。

現在已經有8人買了票。
還欠兩票

如果想去睇，大家要盡快買飛，10月14日前不足夠10票，正仔無得打。 記得打 Siu

想請大家幫個忙🙏，分享這個以下阿正的連接👇🏻及訊息給有興趣去睇嘅朋友。記得打 Siu

https |//www.ultratickets.co.uk/events/ultra-mma-derby-burton-22-11-2024/?fbclid=IwZXh0bgNhZW0CMTEAAR3sugOLjrqqrQfRWZcTVzlX1bKQ9cz3z8_Dpgkj1ex76Kn1OmtsGsd_CGY_aem_SJ0RHKNfC6lKLZLt9RDP-A",Uncategorized,Uncategorized
Nottingham 🇬🇧港人互助區,2024,October,13,Sunday,10:21:25,homelala,"今日14:30 同呼吸💛

https://www.instagram.com/p/DA9QHckABc9/?igsh=MXB4cWx1cnJpbDRmYQ==",80,"homelala: 今日14 |30 同呼吸💛

https |//www.instagram.com/p/DA9QHckABc9/?igsh=MXB4cWx1cnJpbDRmYQ==",Uncategorized,Uncategorized
Nottingham 🇬🇧港人互助區,2024,October,10,Thursday,14:00:29,,大家今日燒死咗咪？,9,nan: 大家今日燒死咗咪？,Uncategorized,Uncategorized
Nottingham 🇬🇧港人互助區,2024,October,9,Wednesday,23:36:57,MMCDR,有房出租,4,MMCDR: 有房出租,Housing and Living Arrangements,Finding Affordable and Safe Accommodation
Nottingham 🇬🇧港人互助區,2024,October,8,Tuesday,22:00:27,homelala,有少少遠，不過都想推下俾大家🙇🏻‍♂️,19,homelala: 有少少遠，不過都想推下俾大家🙇🏻‍♂️,Uncategorized,Uncategorized
Nottingham 🇬🇧港人互助區,2024,October,7,Monday,16:42:37,homelala,"中國近代史，誰是國父、誰是祖國、誰是賊匪⋯⋯
係我地呢代香港人要好好認清，唔好俾騙徒令大家混淆嘅功課📚😂",52,"homelala: 中國近代史，誰是國父、誰是祖國、誰是賊匪⋯⋯
係我地呢代香港人要好好認清，唔好俾騙徒令大家混淆嘅功課📚😂",Uncategorized,Uncategorized
Nottingham 🇬🇧港人互助區,2024,October,7,Monday,9:55:59,homelala,"如果未join : 

https://t.me/c/1943827743/1",39,"homelala: 如果未join  | 

https |//t.me/c/1943827743/1",Uncategorized,Uncategorized
Sheffield🇬🇧港人互助區,2024,October,27,Sunday,17:04:49,,農曆年Sheffield 有粵劇呀,17,nan: 農曆年Sheffield 有粵劇呀,Social and Cultural Adjustment,Celebrating and Preserving Cultural Traditions
Sheffield🇬🇧港人互助區,2024,October,24,Thursday,14:23:11,junn1gram,是咪要搞搞佢,6,junn1gram: 是咪要搞搞佢,Uncategorized,Uncategorized
Sheffield🇬🇧港人互助區,2024,October,24,Thursday,14:22:18,junn1gram,對上一次收Gas已經係8月,13,junn1gram: 對上一次收Gas已經係8月,Uncategorized,Uncategorized
Sheffield🇬🇧港人互助區,2024,October,24,Thursday,14:21:49,junn1gram,突然發覺Octopus一直show唔到Gas個reading,30,junn1gram: 突然發覺Octopus一直show唔到Gas個reading,Uncategorized,Uncategorized
Sheffield🇬🇧港人互助區,2024,October,24,Thursday,0:41:39,lee_cheongsan,"【用Octopus的用戶有福了！】

自家製一Click即睇實時Argile電費。

唔使Login，唔使左襟右襟，真正一Click即睇！係一Click即睇呀呀呀呀。

仲可以睇埋隔離區價錢添！

https://play.google.com/store/apps/details?id=octopus.energy.pricechecker",172,"lee_cheongsan: 【用Octopus的用戶有福了！】

自家製一Click即睇實時Argile電費。

唔使Login，唔使左襟右襟，真正一Click即睇！係一Click即睇呀呀呀呀。

仲可以睇埋隔離區價錢添！

https |//play.google.com/store/apps/details?id=octopus.energy.pricechecker",Legal and Bureaucratic Challenges,Understanding Tax Obligations
Sheffield🇬🇧港人互助區,2024,October,19,Saturday,13:13:19,,有時間去睇呢個展覽,9,nan: 有時間去睇呢個展覽,Employment and Economic Opportunities,Job Market Competition
Sheffield🇬🇧港人互助區,2024,October,8,Tuesday,11:37:13,,"住薄扶林的朋友仔睇下似唔似
https://youtu.be/75KlRM69eG4?si=_E1YGzikyhPW17Ag",62,"nan: 住薄扶林的朋友仔睇下似唔似
https |//youtu.be/75KlRM69eG4?si=_E1YGzikyhPW17Ag",Education and Personal Development,Exploring New Career or Academic Opportunities
真.IT人在英國,2024,October,29,Tuesday,0:14:33,kevinlaw1984,"on 9, 交成晚稅
我立即問稅局，佢話我文件吾齊。
咁我就同太太重申填好，我同太太加小朋友 父母就不用我拱 再交文件
再次收到信都係要交兩萬幾 有冇攪撚錯",78,"kevinlaw1984: on 9, 交成晚稅
我立即問稅局，佢話我文件吾齊。
咁我就同太太重申填好，我同太太加小朋友 父母就不用我拱 再交文件
再次收到信都係要交兩萬幾 有冇攪撚錯",Identity and Emotional Well-Being,Coping with Culture Shock and Loneliness
真.IT人在英國,2024,October,27,Sunday,18:29:33,MilkySylvia,"4天工作周 冰島試推數年成效顯著 「失業率歐洲最低」經濟成長超越多國
https://lih.kg/3810904
- 分享自 LIHKG 討論區",73,"MilkySylvia: 4天工作周 冰島試推數年成效顯著 「失業率歐洲最低」經濟成長超越多國
https |//lih.kg/3810904
- 分享自 LIHKG 討論區",Family Dynamics and Support,Adjusting to Changing Family Roles
真.IT人在英國,2024,October,25,Friday,13:52:38,GeraldG0,遲早都會，只係唔知幾時😅,12,GeraldG0: 遲早都會，只係唔知幾時😅,Employment and Economic Opportunities,Balancing Work with Family Responsibilities
真.IT人在英國,2024,October,24,Thursday,11:36:01,ReStarYH,2.75 % 好大諗頭,11,ReStarYH: 2.75 % 好大諗頭,Uncategorized,Uncategorized
真.IT人在英國,2024,October,22,Tuesday,13:27:20,Produnkcan,"英國利息將跌至2.75%, Goldeman Sachs預測 
https://hkmigrate.com/thread/3301729599331 
英國台 - 香港移民論壇",88,"Produnkcan: 英國利息將跌至2.75%, Goldeman Sachs預測 
https |//hkmigrate.com/thread/3301729599331 
英國台 - 香港移民論壇",Uncategorized,Uncategorized
真.IT人在英國,2024,October,17,Thursday,10:45:57,Aqabu,😂😂https://youtu.be/i-qpSeBzcyw?si=H060t5JkGIPgmPwy,50,Aqabu: 😂😂https |//youtu.be/i-qpSeBzcyw?si=H060t5JkGIPgmPwy,Uncategorized,Uncategorized
真.IT人在英國,2024,October,16,Wednesday,2:29:06,kevinlaw1984,"7 x 24,冇甚麼作為
你做support 兩，三年評估自己發展路向",35,"kevinlaw1984: 7 x 24,冇甚麼作為
你做support 兩，三年評估自己發展路向",Uncategorized,Uncategorized
真.IT人在英國,2024,October,16,Wednesday,1:56:32,john_smith_hk,Children under,14,john_smith_hk: Children under,Uncategorized,Uncategorized
真.IT人在英國,2024,October,15,Tuesday,12:05:33,Aqabu,正！,2,Aqabu: 正！,Uncategorized,Uncategorized
真.IT人在英國,2024,October,15,Tuesday,1:48:55,zxc78w,如果你英文唔錯，可以考慮開高啲，因為曼城 IT 工多數用英文溝通。,33,zxc78w: 如果你英文唔錯，可以考慮開高啲，因為曼城 IT 工多數用英文溝通。,Uncategorized,Uncategorized
真.IT人在英國,2024,October,13,Sunday,20:11:23,,"各位好👋，小弟20歲頭，IVE畢業，剛到步曼城，想揾份IT工。小弟有一年工作經驗，曾經於香港PCCW的NOC做7*24 Operator，人工大約係HKD$22,000。想問各位前輩搵工有冇建議？人工應該開幾多？",106,"nan: 各位好👋，小弟20歲頭，IVE畢業，剛到步曼城，想揾份IT工。小弟有一年工作經驗，曾經於香港PCCW的NOC做7*24 Operator，人工大約係HKD$22,000。想問各位前輩搵工有冇建議？人工應該開幾多？",Uncategorized,Uncategorized
真.IT人在英國,2024,October,12,Saturday,2:17:55,kevinlaw1984,執10吾開就真,7,kevinlaw1984: 執10吾開就真,Uncategorized,Uncategorized
真.IT人在英國,2024,October,12,Saturday,2:17:40,kevinlaw1984,執10開16係呃九人,10,kevinlaw1984: 執10開16係呃九人,Uncategorized,Uncategorized
真.IT人在英國,2024,October,12,Saturday,2:17:08,kevinlaw1984,"香港點生活，正仆街
迫人走 所以勁多人破產
一係吾還以後吾番來",31,"kevinlaw1984: 香港點生活，正仆街
迫人走 所以勁多人破產
一係吾還以後吾番來",Uncategorized,Uncategorized
真.IT人在英國,2024,October,11,Friday,23:18:51,GeraldG0,唔係通常用 GitHub copilot?,21,GeraldG0: 唔係通常用 GitHub copilot?,Uncategorized,Uncategorized
真.IT人在英國,2024,October,11,Friday,22:18:59,zfanman,有無人用緊 Cursor AI gen code?,25,zfanman: 有無人用緊 Cursor AI gen code?,Uncategorized,Uncategorized
真.IT人在英國,2024,October,11,Friday,11:55:47,UsernameUndefined,"間間公司都搞大陸dev center
25k 都覺得你貴。。。",31,"UsernameUndefined: 間間公司都搞大陸dev center
25k 都覺得你貴。。。",Uncategorized,Uncategorized
真.IT人在英國,2024,October,8,Tuesday,11:17:06,Aqabu,"住薄扶林的朋友仔睇下似唔似
https://youtu.be/75KlRM69eG4?si=UppqFMVBYzBiqe-G",62,"Aqabu: 住薄扶林的朋友仔睇下似唔似
https |//youtu.be/75KlRM69eG4?si=UppqFMVBYzBiqe-G",Uncategorized,Uncategorized
真.IT人在英國,2024,October,8,Tuesday,0:07:25,pp99811,有無人做過EXL?,9,pp99811: 有無人做過EXL?,Uncategorized,Uncategorized
真.IT人在英國,2024,October,7,Monday,1:59:58,kevinlaw1984,這幾年發生好多事，可恨我是兩歲來講 只能選擇加拿大。。。 英國已經冇運,35,kevinlaw1984: 這幾年發生好多事，可恨我是兩歲來講 只能選擇加拿大。。。 英國已經冇運,Uncategorized,Uncategorized
真.IT人在英國,2024,October,7,Monday,1:58:11,kevinlaw1984,"我仲有幾個月就完成degree,但因為之前失業了大半年
已經同身邊家人關系好差",39,"kevinlaw1984: 我仲有幾個月就完成degree,但因為之前失業了大半年
已經同身邊家人關系好差",Uncategorized,Uncategorized
真.IT人在英國,2024,October,7,Monday,1:11:59,kevinlaw1984,你當返通宵,5,kevinlaw1984: 你當返通宵,Uncategorized,Uncategorized
真.IT人在英國,2024,October,7,Monday,1:11:47,kevinlaw1984,yes,3,kevinlaw1984: yes,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,19:52:31,irapthegov,remote返香港咁係咪跟香港時間？,18,irapthegov: remote返香港咁係咪跟香港時間？,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,16:54:25,kevinlaw1984,以家想學Cloud,9,kevinlaw1984: 以家想學Cloud,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,16:54:09,kevinlaw1984,我一早已轉了做system engineer,22,kevinlaw1984: 我一早已轉了做system engineer,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,13:38:21,rexwongwh,加油,2,rexwongwh: 加油,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,13:37:41,rexwongwh,人工起碼高一倍,7,rexwongwh: 人工起碼高一倍,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,13:37:18,rexwongwh,整返張 cert,8,rexwongwh: 整返張 cert,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,13:36:59,rexwongwh,所以如果你仲諗住食Support條水， 你應該努力一啲做Network security,44,rexwongwh: 所以如果你仲諗住食Support條水， 你應該努力一啲做Network security,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,13:11:01,GeraldG0,最多人搵可能係 reset password? 😅,25,GeraldG0: 最多人搵可能係 reset password? 😅,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,12:28:14,rexwongwh,基本上冇咩嘢做,7,rexwongwh: 基本上冇咩嘢做,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,12:28:03,rexwongwh,跟住仲要駁埋office 365,16,rexwongwh: 跟住仲要駁埋office 365,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,12:27:38,rexwongwh,"其實今時今日都冇乜support需要啦，以前又要搞Server又要砌機！ 而家最主要就係搞掂我VPN。 server都可以cloud, 一般Lenovo嗰啲枱頭或者Notebook都已經唔使點樣做嘢",99,"rexwongwh: 其實今時今日都冇乜support需要啦，以前又要搞Server又要砌機！ 而家最主要就係搞掂我VPN。 server都可以cloud, 一般Lenovo嗰啲枱頭或者Notebook都已經唔使點樣做嘢",Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,12:26:15,rexwongwh,"Indeed,同香港冇分別",13,"rexwongwh: Indeed,同香港冇分別",Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,7:58:25,GeraldG0,做 support 人工會低啲？,16,GeraldG0: 做 support 人工會低啲？,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,2:37:32,kevinlaw1984,senior....下滑到25K,16,kevinlaw1984: senior....下滑到25K,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,1:19:03,kevinlaw1984,但最好就吾好,6,kevinlaw1984: 但最好就吾好,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,1:18:55,kevinlaw1984,其實都有不少人走數，移民走了,14,kevinlaw1984: 其實都有不少人走數，移民走了,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,1:15:57,GeraldG0,唔知香港申請你破產會唔會搞到喺英國入唔到藉🙄,22,GeraldG0: 唔知香港申請你破產會唔會搞到喺英國入唔到藉🙄,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,1:14:52,GeraldG0,應該唔太差啩,6,GeraldG0: 應該唔太差啩,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,1:11:28,kevinlaw1984,問題英國搵工係點,8,kevinlaw1984: 問題英國搵工係點,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,1:09:33,kevinlaw1984,佢再迫我，我吾撚還 移民英國吾返來,17,kevinlaw1984: 佢再迫我，我吾撚還 移民英國吾返來,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,1:08:49,kevinlaw1984,但最可恨仆街武漢害到要月拱還錢,15,kevinlaw1984: 但最可恨仆街武漢害到要月拱還錢,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,1:05:03,kevinlaw1984,"係，我身邊都有部份朋友移民了 後先講出來 
但佢份工都係香港remote 做",38,"kevinlaw1984: 係，我身邊都有部份朋友移民了 後先講出來 
但佢份工都係香港remote 做",Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,0:59:19,GeraldG0,走啦，呢個谷應該都好多人走咗去英國,17,GeraldG0: 走啦，呢個谷應該都好多人走咗去英國,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,0:45:23,kevinlaw1984,已經係去到迫人走地步，物價高人工追吾到 已經假期改北上，因為比吾起香港消費,37,kevinlaw1984: 已經係去到迫人走地步，物價高人工追吾到 已經假期改北上，因為比吾起香港消費,Uncategorized,Uncategorized
真.IT人在英國,2024,October,4,Friday,0:42:57,kevinlaw1984,"做番私人工作，好忙好chur
人工少了不少。。好辛苦
香港市道超差，工作要求高
人工就返跌。。。",48,"kevinlaw1984: 做番私人工作，好忙好chur
人工少了不少。。好辛苦
香港市道超差，工作要求高
人工就返跌。。。",Uncategorized,Uncategorized
真.IT人在英國,2024,October,3,Thursday,19:57:43,pp99811,應該都有一半啦至少,9,pp99811: 應該都有一半啦至少,Uncategorized,Uncategorized
真.IT人在英國,2024,October,3,Thursday,19:54:52,Unknown,有幾多巴打喺倫敦?,9,Unknown: 有幾多巴打喺倫敦?,Uncategorized,Uncategorized
真.IT人在英國,2024,October,3,Thursday,7:23:00,GeraldG0,點解呀？,4,GeraldG0: 點解呀？,Uncategorized,Uncategorized
真.IT人在英國,2024,October,3,Thursday,2:40:46,kevinlaw1984,但做得吾係太開心,8,kevinlaw1984: 但做得吾係太開心,Uncategorized,Uncategorized
真.IT人在英國,2024,October,2,Wednesday,22:41:03,zfanman,有無人用AI gen REST endpoints?,26,zfanman: 有無人用AI gen REST endpoints?,Uncategorized,Uncategorized
真.IT人在英國,2024,October,2,Wednesday,11:25:08,GeraldG0,你覺得太少？😅,7,GeraldG0: 你覺得太少？😅,Uncategorized,Uncategorized
真.IT人在英國,2024,October,2,Wednesday,11:08:55,JKyyy,linked with my github profile and publications,46,JKyyy: linked with my github profile and publications,Uncategorized,Uncategorized
真.IT人在英國,2024,October,2,Wednesday,10:18:28,kumamoto_fatyeah,siu4,4,kumamoto_fatyeah: siu4,Uncategorized,Uncategorized
真.IT人在英國,2024,October,2,Wednesday,4:21:34,cowmarket2begin,150k gbp tc😱,12,cowmarket2begin: 150k gbp tc😱,Uncategorized,Uncategorized
真.IT人在英國,2024,October,1,Tuesday,23:00:25,john_smith_hk,"26歲 倫敦做IT9 £100k+ 你問我答
- 分享自 LIHKG 討論區
https://lih.kg/3795065

#大英祖國",68,"john_smith_hk: 26歲 倫敦做IT9 £100k+ 你問我答
- 分享自 LIHKG 討論區
https |//lih.kg/3795065

#大英祖國",Economic and Financial Stability,Adapting to Market Fluctuations and Economic Changes
真.IT人在英國,2024,October,1,Tuesday,20:48:57,zfanman,有無人用緊Golang寫micro services?,27,zfanman: 有無人用緊Golang寫micro services?,Healthcare and Well-Being,Access to Primary and Emergency Care
BNO英國討論區,2024,October,30,Wednesday,9:27:55,zfanman,贏得？！,4,zfanman: 贏得？！,Uncategorized,Uncategorized
BNO英國討論區,2024,October,30,Wednesday,9:27:44,zfanman,特朗普喺賓州比起上次多咗近44萬票，而上次只輸8萬票，預測會大勝。有Elon Musk喺度坐陣，民主黨想「動L」會有啲難度~ 😁,64,zfanman: 特朗普喺賓州比起上次多咗近44萬票，而上次只輸8萬票，預測會大勝。有Elon Musk喺度坐陣，民主黨想「動L」會有啲難度~ 😁,Uncategorized,Uncategorized
BNO英國討論區,2024,October,26,Saturday,4:25:05,,"The most dangerous food.

Join: @RevealedEye",44,"nan: The most dangerous food.

Join | @RevealedEye",Uncategorized,Uncategorized
BNO英國討論區,2024,October,23,Wednesday,18:25:52,zfanman,"西環趕膠所出品 必屬""街""品 成班社混垃圾仆街仔 (道友蛋, BNO參軍吹蕭域, 本記渣數人JOYKWAN, 本記打手本小姐, 中大電郵, 蒸魚安, 李永財, ETC) 唔止做狗針 重有人搵食搵到入建制 佢果期選啱區攝入去訓喺度都嬴 事實我就係去天后區常客 我問十個 十個都唔識佢 照羸 講真 唔好撚以為選到做388泛民區佬=聖人 根本一樣可以係仆街冚家剷",178,"zfanman: 西環趕膠所出品 必屬""街""品 成班社混垃圾仆街仔 (道友蛋, BNO參軍吹蕭域, 本記渣數人JOYKWAN, 本記打手本小姐, 中大電郵, 蒸魚安, 李永財, ETC) 唔止做狗針 重有人搵食搵到入建制 佢果期選啱區攝入去訓喺度都嬴 事實我就係去天后區常客 我問十個 十個都唔識佢 照羸 講真 唔好撚以為選到做388泛民區佬=聖人 根本一樣可以係仆街冚家剷",Uncategorized,Uncategorized
BNO英國討論區,2024,October,23,Wednesday,10:49:16,,"Apple Iphone IOS update alert......what are they up to now!?

**Follow Us -> **[**Conspiracy Theory👤**](https://t.me/+JZpnx6pIckA2ZTUy)",135,"nan: Apple Iphone IOS update alert......what are they up to now!?

**Follow Us -> **[**Conspiracy Theory👤**](https |//t.me/+JZpnx6pIckA2ZTUy)",Uncategorized,Uncategorized
BNO英國討論區,2024,October,22,Tuesday,13:26:34,Produnkcan,"英國利息將跌至2.75%, Goldeman Sachs預測 
https://hkmigrate.com/thread/3301729599331 
英國台 - 香港移民論壇",88,"Produnkcan: 英國利息將跌至2.75%, Goldeman Sachs預測 
https |//hkmigrate.com/thread/3301729599331 
英國台 - 香港移民論壇",Uncategorized,Uncategorized
BNO英國討論區,2024,October,22,Tuesday,2:44:37,World_1212,the french mocked Jesus during their pedo olympics... well Jesus was quick to respond... the french will be cursed FOREVER....,126,World_1212: the french mocked Jesus during their pedo olympics... well Jesus was quick to respond... the french will be cursed FOREVER....,Uncategorized,Uncategorized
BNO英國討論區,2024,October,21,Monday,10:40:23,zfanman,"我認我笑位比較低。不過呢個Go back to China 真係好笑

https://youtu.be/n0BW7P9yiPU?si=PdYcAkFlXOt7me2v",84,"zfanman: 我認我笑位比較低。不過呢個Go back to China 真係好笑

https |//youtu.be/n0BW7P9yiPU?si=PdYcAkFlXOt7me2v",Uncategorized,Uncategorized
