Group Name,Year,Month,Date,Weekday,Time,Who,Chat Content,CharCount,Processed Content,Category,Subcategory
真.IT人在英國,2024,October,25,Friday,13:52:38,GeraldG0,遲早都會，只係唔知幾時😅,12,GeraldG0: 遲早都會，只係唔知幾時😅,Uncategorized,Uncategorized
真.IT人在英國,2024,October,1,Tuesday,23:00:25,john_smith_hk,"26歲 倫敦做IT9 £100k+ 你問我答
- 分享自 LIHKG 討論區
https://lih.kg/3795065

#大英祖國",68,"john_smith_hk: 26歲 倫敦做IT9 £100k+ 你問我答
- 分享自 LIHKG 討論區
https |//lih.kg/3795065

#大英祖國",Uncategorized,Uncategorized
真.IT人在英國,2024,October,1,Tuesday,20:48:57,zfanman,有無人用緊Golang寫micro services?,27,zfanman: 有無人用緊Golang寫micro services?,Uncategorized,Uncategorized
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,27,Sunday,20:17:30,latteju,都係用theory 4 in 1齋操佢啲題，bookmark低錯嗰啲再睇多幾次，做晒就做佢個mock test咁,56,latteju: 都係用theory 4 in 1齋操佢啲題，bookmark低錯嗰啲再睇多幾次，做晒就做佢個mock test咁,Uncategorized,Uncategorized
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,27,Sunday,19:44:26,Uncleblackcatbbch,有無theory test雞精,15,Uncleblackcatbbch: 有無theory test雞精,Uncategorized,Uncategorized
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,22,Tuesday,9:11:42,latteju,你搵個近屋企嘅場book咗先，可以免費改期改試場，唔記得係咪可以免費改6次,37,latteju: 你搵個近屋企嘅場book咗先，可以免費改期改試場，唔記得係咪可以免費改6次,Uncategorized,Uncategorized
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,22,Tuesday,9:01:20,latteju,我考完theory test 就即刻book路試，我係補鐘，係美國牌唔可以直換，上咗一次堂，師傅叫我改個近啲嘅考場方便啲去操，原本係book咗10月10號，但改考場已去到一月頭，前排醒起新年頭可能難啲夾補鐘時間，所以諗住再改時間,114,latteju: 我考完theory test 就即刻book路試，我係補鐘，係美國牌唔可以直換，上咗一次堂，師傅叫我改個近啲嘅考場方便啲去操，原本係book咗10月10號，但改考場已去到一月頭，前排醒起新年頭可能難啲夾補鐘時間，所以諗住再改時間,Uncategorized,Uncategorized
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,22,Tuesday,5:31:21,captaincatho,如果去到3月幾先考，太早上又無手感,17,captaincatho: 如果去到3月幾先考，太早上又無手感,Transportation and Mobility,Learning to Drive in a New Environment
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,22,Tuesday,5:30:45,captaincatho,想問你係報完路試先再上堂夾個考期定邊上堂邊報？,23,captaincatho: 想問你係報完路試先再上堂夾個考期定邊上堂邊報？,Uncategorized,Uncategorized
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,21,Monday,14:29:31,latteju,合格而你又急住考路試嘅要盡快book，我前幾日睇已去到下年3月幾先有位考,36,latteju: 合格而你又急住考路試嘅要盡快book，我前幾日睇已去到下年3月幾先有位考,Uncategorized,Uncategorized
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,21,Monday,8:24:38,latteju,我係操晒佢有嘅再做埋佢mock test，原本最驚呢part但考嗰時呢part高分過MC，佢個mon幾大易睇好多唔使驚,59,latteju: 我係操晒佢有嘅再做埋佢mock test，原本最驚呢part但考嗰時呢part高分過MC，佢個mon幾大易睇好多唔使驚,Uncategorized,Uncategorized
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,19,Saturday,15:48:26,speakandmove,"我哋會員成功過到軍訓passing out 已經唔係咩新鮮事，但今次唔可以唔講，因為我哋終於出到第一位女兵！

琴日我哋其中一位admin 入咗Pirbright接放學， 就係為咗見證呢個歷史性一刻。其實本谷會員唔只得呢位師妹，只係佢最早成功入伍。

同日亦有幸見到而家已經非常忙碌、第一位成功參軍嘅「大師兄」，傾談起嚟都相當感概。由佢當年行好多冤枉路，到而家我哋已經好有系統咁由報名到測試到軍訓，都有哂準備同tips，呢三年幾嚟我哋真係發展咗好多。

由第一位成功參軍嘅BNO visa，到第一位BNO visa 女兵，我哋仲會唔會更多第一位？其實好快就有，但本住未成功就唔出聲嘅宗旨，就先容許我哋賣個關子。

祝香港人繼續武運亨隆！",318,"speakandmove: 我哋會員成功過到軍訓passing out 已經唔係咩新鮮事，但今次唔可以唔講，因為我哋終於出到第一位女兵！

琴日我哋其中一位admin 入咗Pirbright接放學， 就係為咗見證呢個歷史性一刻。其實本谷會員唔只得呢位師妹，只係佢最早成功入伍。

同日亦有幸見到而家已經非常忙碌、第一位成功參軍嘅「大師兄」，傾談起嚟都相當感概。由佢當年行好多冤枉路，到而家我哋已經好有系統咁由報名到測試到軍訓，都有哂準備同tips，呢三年幾嚟我哋真係發展咗好多。

由第一位成功參軍嘅BNO visa，到第一位BNO visa 女兵，我哋仲會唔會更多第一位？其實好快就有，但本住未成功就唔出聲嘅宗旨，就先容許我哋賣個關子。

祝香港人繼續武運亨隆！",Uncategorized,Uncategorized
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,19,Saturday,6:01:52,,我見唐人街有幾間髮型屋 果幾間剪男仔頭掂唔掂?,23,nan: 我見唐人街有幾間髮型屋 果幾間剪男仔頭掂唔掂?,Personal Care and Appearance,Finding Quality Hair Salons
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,18,Friday,23:31:17,HKIndependenxe,有朋友喺嗰度剪過，負評,11,HKIndependenxe: 有朋友喺嗰度剪過，負評,Personal Care and Appearance,Poor Quality Hair Salon Services
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,18,Friday,14:39:23,captaincatho,不過得3x題感覺唔夠練,11,captaincatho: 不過得3x題感覺唔夠練,Uncategorized,Uncategorized
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,18,Friday,14:38:53,captaincatho,我之前練情景題佢要我另外比錢，過幾日個app就無左件事,27,captaincatho: 我之前練情景題佢要我另外比錢，過幾日個app就無左件事,Uncategorized,Uncategorized
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,18,Friday,13:25:08,charchar1213,Magic mirror?,13,charchar1213: Magic mirror?,Uncategorized,Uncategorized
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,18,Friday,12:59:43,,曼城市中附近識邊度有香港髮型師,15,nan: 曼城市中附近識邊度有香港髮型師,Personal Care and Appearance,Locating Professional Hong Kong Hairstylists
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,18,Friday,11:08:58,latteju,我都係用4 in 1練，唔使另外俾錢啊，而且我係用電量練，去到考係用大電腦mon，會睇得清楚好多,48,latteju: 我都係用4 in 1練，唔使另外俾錢啊，而且我係用電量練，去到考係用大電腦mon，會睇得清楚好多,Uncategorized,Uncategorized
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,18,Friday,7:33:44,,落地無耐 想識下朋友 周圍行下,15,nan: 落地無耐 想識下朋友 周圍行下,Social and Cultural Adjustment,Building Community and Social Connections
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,17,Thursday,23:48:50,ahothehellyouno,組團去邊🤔🤔🤔,7,ahothehellyouno: 組團去邊🤔🤔🤔,Uncategorized,Uncategorized
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,17,Thursday,21:02:50,,Hello 有冇男仔都係自己一個曼城呀？😀歡迎一齊組團,27,nan: Hello 有冇男仔都係自己一個曼城呀？😀歡迎一齊組團,Social and Cultural Adjustment,Building Community and Social Connections
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,12,Saturday,19:48:56,speakandmove,"軍訓究竟有幾辛苦？

隨住越嚟越多BNO手足成功參軍，可能大家都會聽過佢哋話Basic Training 好痛苦。可能有啲人會覺得自己操開體能，又或者俾‘basic’呢個字呃到，就覺得basic training 不外如是。最近我哋其中一位手足就收到佢野外訓練嗰時嘅珍貴片段，可以俾大家感受一吓軍訓實況。

片段所見就係野外訓練其中最痛苦嘅環節之一’Ambush’。當你日頭已經操到死，好難得可以捐入睡袋休息一兩個鐘嘅時候，往往就會遭遇敵人襲擊要捐出都未訓暖嘅睡袋去還火。當做得唔好嘅時候仲要2分鐘pack好哂所有嘢模擬戰敗撤退，孭住40公斤裝備喺野外跑幾公里搵新嘅據點。槍林彈雨之下就同真係上咗戰場冇咩分別。

喺咁高強度嘅訓練之下，好多人都會捱唔住放棄，軍訓嘅畢業率得60%左右。不過，暫時成功報名參軍嘅香港手足，畢業率暫時仲係100%",370,"speakandmove: 軍訓究竟有幾辛苦？

隨住越嚟越多BNO手足成功參軍，可能大家都會聽過佢哋話Basic Training 好痛苦。可能有啲人會覺得自己操開體能，又或者俾‘basic’呢個字呃到，就覺得basic training 不外如是。最近我哋其中一位手足就收到佢野外訓練嗰時嘅珍貴片段，可以俾大家感受一吓軍訓實況。

片段所見就係野外訓練其中最痛苦嘅環節之一’Ambush’。當你日頭已經操到死，好難得可以捐入睡袋休息一兩個鐘嘅時候，往往就會遭遇敵人襲擊要捐出都未訓暖嘅睡袋去還火。當做得唔好嘅時候仲要2分鐘pack好哂所有嘢模擬戰敗撤退，孭住40公斤裝備喺野外跑幾公里搵新嘅據點。槍林彈雨之下就同真係上咗戰場冇咩分別。

喺咁高強度嘅訓練之下，好多人都會捱唔住放棄，軍訓嘅畢業率得60%左右。不過，暫時成功報名參軍嘅香港手足，畢業率暫時仲係100%",Employment and Economic Opportunities,Job Market Competition
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,12,Saturday,13:23:08,cyncye,請問一下有冇想夾租啊 。下個月尾開始 。,20,cyncye: 請問一下有冇想夾租啊 。下個月尾開始 。,Housing and Living Arrangements,Finding Affordable and Safe Accommodation
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,12,Saturday,10:03:49,captaincatho,bno visa 仲要移民律師？,16,captaincatho: bno visa 仲要移民律師？,Legal and Bureaucratic Challenges,Navigating Immigration and Residency Requirements
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,11,Friday,9:37:54,tthhooj,咁多位，請問曼城有冇移民律師，可以推介一下🙏🏻🙏🏻，唔該晒,29,tthhooj: 咁多位，請問曼城有冇移民律師，可以推介一下🙏🏻🙏🏻，唔該晒,Legal and Bureaucratic Challenges,Accessing Legal Aid or Advocacy Services
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,10,Thursday,10:45:02,hk1842,"一開始「感覺」係士美菲路落山，後來睇應該無錯，但同comment有人講一樣，街景完全唔同，同埋竟然無「不准駛入」嘅地方，卑路乍街（我估係，去到街尾估係寶翠園）竟然係雙向行車 。整體嚟講啲路太濶，香港啲路有咁濶揸車就容易好多啦 。
如果街景似多啲實景，感受應該好好多
（我住卑路乍街近十年，好想望吓間百佳，可惜失望了 😖）",160,"hk1842: 一開始「感覺」係士美菲路落山，後來睇應該無錯，但同comment有人講一樣，街景完全唔同，同埋竟然無「不准駛入」嘅地方，卑路乍街（我估係，去到街尾估係寶翠園）竟然係雙向行車 。整體嚟講啲路太濶，香港啲路有咁濶揸車就容易好多啦 。
如果街景似多啲實景，感受應該好好多
（我住卑路乍街近十年，好想望吓間百佳，可惜失望了 😖）",Transportation and Mobility,Adjusting to New Traffic Rules and Regulations
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,10,Thursday,10:33:31,hk1842,搵到中西區，睇下先,9,hk1842: 搵到中西區，睇下先,Housing and Living Arrangements,Finding Affordable and Safe Accommodation
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,7,Monday,3:30:39,BigBigPlane_364,"打搞咁多位師兄

尋失物

尋日 星期日 (6/10) 下晏 兩點三 左右 係PICCADILLY GARDENS LIDL 附近遺失 黑色 PAUL SMITH 銀包一個，內有 少量 英鎊 & 港幣，提款卡 ，香港信用卡，英國車牌，學生證，白色御守......

如有拾獲，請PM本人，薄酬
麻煩晒🙇🏻‍♂",154,"BigBigPlane_364: 打搞咁多位師兄

尋失物

尋日 星期日 (6/10) 下晏 兩點三 左右 係PICCADILLY GARDENS LIDL 附近遺失 黑色 PAUL SMITH 銀包一個，內有 少量 英鎊 & 港幣，提款卡 ，香港信用卡，英國車牌，學生證，白色御守......

如有拾獲，請PM本人，薄酬
麻煩晒🙇🏻‍♂",Uncategorized,Uncategorized
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,5,Saturday,9:34:43,HKIndependenxe,Hi，想問有冇it/cybersecurity嘅谷😄,26,HKIndependenxe: Hi，想問有冇it/cybersecurity嘅谷😄,Employment and Economic Opportunities,Job Market Competition
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,4,Friday,22:12:03,burnwithus2019,你英國車牌應該都係跟香港牌,13,burnwithus2019: 你英國車牌應該都係跟香港牌,Transportation and Mobility,Obtaining Driver’s Licenses or Vehicle Registration
🇬🇧 齊向Manchester出發🇬🇧 香港人加油🇭🇰,2024,October,4,Friday,21:42:12,tthhooj,咁多位師兄打攪一下，請問你哋車保係咪填香港嘅牌齡，佢其中一個係問幾時有依個牌係咪可以照跟返香港？,48,tthhooj: 咁多位師兄打攪一下，請問你哋車保係咪填香港嘅牌齡，佢其中一個係問幾時有依個牌係咪可以照跟返香港？,Transportation and Mobility,Obtaining Driver’s Licenses or Vehicle Registration
BNO求職創業互助討論區,2024,October,30,Wednesday,14:59:08,,"Interview tips (US)

https://www.threads.net/@wayfindingwithnina/post/DBt2ncJyi0Y?xmt=AQGzulITxiXNuK6ECPRn26-rzdMElnlK38LOaaHbLpEDvw",132,"nan: Interview tips (US)

https |//www.threads.net/@wayfindingwithnina/post/DBt2ncJyi0Y?xmt=AQGzulITxiXNuK6ECPRn26-rzdMElnlK38LOaaHbLpEDvw",Uncategorized,Uncategorized
BNO求職創業互助討論區,2024,October,28,Monday,13:33:32,,💅伯明翰市中心美甲，可以提供上門服務，有興趣可以先私聊我啊謝謝🫶🏻💗,34,nan: 💅伯明翰市中心美甲，可以提供上門服務，有興趣可以先私聊我啊謝謝🫶🏻💗,Personal Care and Appearance,Finding Quality Hair Salons
BNO求職創業互助討論區,2024,October,22,Tuesday,7:39:02,,請問在申請settlement 等候結果期間， 如果BNO Visa 已過期那應該怎麼辦？要再續簽BNO Visa 嗎？,60,nan: 請問在申請settlement 等候結果期間， 如果BNO Visa 已過期那應該怎麼辦？要再續簽BNO Visa 嗎？,Legal and Bureaucratic Challenges,Navigating Immigration and Residency Requirements
BNO求職創業互助討論區,2024,October,7,Monday,15:53:03,,Birmingham China town 一車位出租🌟價錢可商議❗️,35,nan: Birmingham China town 一車位出租🌟價錢可商議❗️,Housing and Living Arrangements,Finding Affordable and Safe Accommodation
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,20,Sunday,3:56:37,britonshk,"The infamous ‘coffin homes’ that Hong Kong’s new housing reforms won’t touch

https://hongkongfp.com/2024/10/20/the-infamous-coffin-homes-that-hong-kongs-new-housing-reforms-wont-touch/",185,"britonshk: The infamous ‘coffin homes’ that Hong Kong’s new housing reforms won’t touch

https |//hongkongfp.com/2024/10/20/the-infamous-coffin-homes-that-hong-kongs-new-housing-reforms-wont-touch/",Uncategorized,Uncategorized
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,19,Saturday,8:20:58,,咁樣講即係冇改變BNO要跟國際生支付大學學費,22,nan: 咁樣講即係冇改變BNO要跟國際生支付大學學費,Education and Personal Development,Financial Barriers to Education and Training
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,17,Thursday,18:58:38,,交國際生學費真是沒能力負擔,13,nan: 交國際生學費真是沒能力負擔,Education and Personal Development,Financial Barriers to Education and Training
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,16,Wednesday,6:12:05,britonshk,"🌳細葉榕問卷要你幫拖‼️🌳

我哋進行緊在英香港語文教育調查，旨在了解英國港人社群對香港語文教育嘅睇法、經驗同期望。

你嘅意見非常重要，問卷預計需時約8-15分鐘，所有回應都會嚴格保密，感謝大家支持！

問卷連結：
https://forms.gle/p8DjVoUZUtxteHui8",144,"britonshk: 🌳細葉榕問卷要你幫拖‼️🌳

我哋進行緊在英香港語文教育調查，旨在了解英國港人社群對香港語文教育嘅睇法、經驗同期望。

你嘅意見非常重要，問卷預計需時約8-15分鐘，所有回應都會嚴格保密，感謝大家支持！

問卷連結：
https |//forms.gle/p8DjVoUZUtxteHui8",Education and Personal Development,Accessing Education for Children and Adults
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,14,Monday,18:02:28,britonshk,"公告：獎學金申請期限將延長兩星期

為咗可以令到獎學金得獎者得到更加全面嘅支援，我哋決定新增「細葉榕讀書會」為新嘅得獎內容。目標係透過定期同同道研討世界精選篇章，一齊精進對於公民社會嘅理解，改善自己嘅文化身分傳承規劃。

由於得獎內容變動，是次獎學金嘅申請期限將延長兩星期，新的截止日期為：

27/10/2024 2359


已經提交申請資料嘅同學，可於延長期間再次遞交申請資料，我們將以最新收到嘅版本作準。",206,"britonshk: 公告：獎學金申請期限將延長兩星期

為咗可以令到獎學金得獎者得到更加全面嘅支援，我哋決定新增「細葉榕讀書會」為新嘅得獎內容。目標係透過定期同同道研討世界精選篇章，一齊精進對於公民社會嘅理解，改善自己嘅文化身分傳承規劃。

由於得獎內容變動，是次獎學金嘅申請期限將延長兩星期，新的截止日期為：

27/10/2024 2359


已經提交申請資料嘅同學，可於延長期間再次遞交申請資料，我們將以最新收到嘅版本作準。",Uncategorized,Uncategorized
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,13,Sunday,18:41:05,britonshk,"🌳細葉榕問卷要你幫拖‼️🌳

我哋進行緊在英香港語文教育調查，旨在了解英國港人社群對香港語文教育嘅睇法、經驗同期望。

你嘅意見非常重要，問卷預計需時約8-15分鐘，所有回應都會嚴格保密，感謝大家支持！

問卷連結：
https://forms.gle/p8DjVoUZUtxteHui8",144,"britonshk: 🌳細葉榕問卷要你幫拖‼️🌳

我哋進行緊在英香港語文教育調查，旨在了解英國港人社群對香港語文教育嘅睇法、經驗同期望。

你嘅意見非常重要，問卷預計需時約8-15分鐘，所有回應都會嚴格保密，感謝大家支持！

問卷連結：
https |//forms.gle/p8DjVoUZUtxteHui8",Education and Personal Development,Accessing Education for Children and Adults
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,12,Saturday,14:21:20,,工黨做得好差、又貪污、不停加薪俾火車司機、忘記低層人工市民、物價高企、電力又取消津貼、香港人D仔女升大學又要支付海外收生費,61,nan: 工黨做得好差、又貪污、不停加薪俾火車司機、忘記低層人工市民、物價高企、電力又取消津貼、香港人D仔女升大學又要支付海外收生費,Political Environment and Governance,Concerns about Authoritarian or Repressive Tendencies
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,12,Saturday,0:26:11,britonshk,"🌳細葉榕問卷要你幫拖‼️🌳

我哋進行緊在英香港語文教育調查，旨在了解英國港人社群對香港語文教育嘅睇法、經驗同期望。

你嘅意見非常重要，問卷預計需時約8-15分鐘，所有回應都會嚴格保密，感謝大家支持！

問卷連結：
https://forms.gle/p8DjVoUZUtxteHui8",144,"britonshk: 🌳細葉榕問卷要你幫拖‼️🌳

我哋進行緊在英香港語文教育調查，旨在了解英國港人社群對香港語文教育嘅睇法、經驗同期望。

你嘅意見非常重要，問卷預計需時約8-15分鐘，所有回應都會嚴格保密，感謝大家支持！

問卷連結：
https |//forms.gle/p8DjVoUZUtxteHui8",Education and Personal Development,Accessing Education for Children and Adults
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,9,Wednesday,15:56:50,,支持國際制裁香港國安法所有法官,15,nan: 支持國際制裁香港國安法所有法官,Uncategorized,Uncategorized
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,3,Thursday,18:28:16,britonshk,"以下係一則關於我哋嘅工作持續受滋擾嘅故事：
https://www.voacantonese.com/a/hong-kong-group-providing-assistance-to-asylum-seekers-faced-police-phone-harassment-for-over-two-years-20241003/7808934.html

香港當局用咁多預算喺國安方面就係用黎長期跨境滋擾海外嘅港人機構？",212,"britonshk: 以下係一則關於我哋嘅工作持續受滋擾嘅故事：
https |//www.voacantonese.com/a/hong-kong-group-providing-assistance-to-asylum-seekers-faced-police-phone-harassment-for-over-two-years-20241003/7808934.html

香港當局用咁多預算喺國安方面就係用黎長期跨境滋擾海外嘅港人機構？",Uncategorized,Uncategorized
英國戰線 🇬🇧 Britons in Hong Kong/UK (頻道留言用),2024,October,3,Thursday,11:28:53,britonshk,"美國中央情報局 CIA，星期三在 IG、FB、LinkedIn、TG 和 Twitter 等平台發片，分別有中文、韓語、和波斯語版本，招募中國、北韓和伊朗線人，介紹如何在公開網站和暗網安全聯繫 CIA 的方法，又指 CIA 收到報料後可能需時處理，因安全考慮不一定會回覆。

外電引述中情局副局長 David Cohen 指，在中國有大量有權接觸資訊而很對習政權不滿的人，這些內部知情人士因為不同理由，不同意習近平帶領中國的走向，而且明白和中情局合作是幫助中國的其中一個方法。

CIA 2022 年亦曾用俄語發片，在網上招募俄羅斯線，CIA 發言人指這做法在俄羅斯取得成功，希望在其他活在獨裁政權的人都知道如何聯絡他們。

中國駐美大使館發言人劉鵬宇，批評美國對中國發動有組織有系統的假訊息運動，強調企圖離間和削弱中國人民與共產黨註定會失敗。",372,"britonshk: 美國中央情報局 CIA，星期三在 IG、FB、LinkedIn、TG 和 Twitter 等平台發片，分別有中文、韓語、和波斯語版本，招募中國、北韓和伊朗線人，介紹如何在公開網站和暗網安全聯繫 CIA 的方法，又指 CIA 收到報料後可能需時處理，因安全考慮不一定會回覆。

外電引述中情局副局長 David Cohen 指，在中國有大量有權接觸資訊而很對習政權不滿的人，這些內部知情人士因為不同理由，不同意習近平帶領中國的走向，而且明白和中情局合作是幫助中國的其中一個方法。

CIA 2022 年亦曾用俄語發片，在網上招募俄羅斯線，CIA 發言人指這做法在俄羅斯取得成功，希望在其他活在獨裁政權的人都知道如何聯絡他們。

中國駐美大使館發言人劉鵬宇，批評美國對中國發動有組織有系統的假訊息運動，強調企圖離間和削弱中國人民與共產黨註定會失敗。",Uncategorized,Uncategorized
曼城好東西,2024,November,1,Friday,12:08:48,SnowmanKen119,著西裝打呔講嘢斯斯文文嘅爛仔先得人驚🤣,19,SnowmanKen119: 著西裝打呔講嘢斯斯文文嘅爛仔先得人驚🤣,Uncategorized,Uncategorized
曼城好東西,2024,November,1,Friday,12:05:36,kkkkkk45695,有紋身同爛口都唔一定係爛仔黎嘅🥺,16,kkkkkk45695: 有紋身同爛口都唔一定係爛仔黎嘅🥺,Identity and Emotional Well-Being,Addressing Feelings of Isolation or Marginalization
曼城好東西,2024,October,28,Monday,11:09:11,yakipeter11111,謝謝，你覺得英國買樓收租有冇得做,16,yakipeter11111: 謝謝，你覺得英國買樓收租有冇得做,Housing and Living Arrangements,Rising Rent and Housing Costs
