Who,Chat Content,Label
GetALifeLa,"有香港人參加咗個MMA慈善比賽11月22號係Derby DE24 3DH，幫香港監察籌款。大會要求參加者要籌到£50同賣出十張飛先可以打比賽。

現在已經有8人買了票。
還欠兩票

如果想去睇，大家要盡快買飛，10月14日前不足夠10票，正仔無得打。 記得打 Siu

想請大家幫個忙🙏，分享這個以下阿正的連接👇🏻及訊息給有興趣去睇嘅朋友。記得打 Siu

https://www.ultratickets.co.uk/events/ultra-mma-derby-burton-22-11-2024/?fbclid=IwZXh0bgNhZW0CMTEAAR3sugOLjrqqrQfRWZcTVzlX1bKQ9cz3z8_Dpgkj1ex76Kn1OmtsGsd_CGY_aem_SJ0RHKNfC6lKLZLt9RDP-A",0
chemchemday,https://www.threads.net/@dse.chemistry.chemchemday/post/DBCiv1aILsA?xmt=AQGzEdrO4zZTEyStp5BAW3Bq6-q_317nU784TlNDZfqyFg,0
homelala,"今日14:30 同呼吸💛

https://www.instagram.com/p/DA9QHckABc9/?igsh=MXB4cWx1cnJpbDRmYQ==",0
,大家今日燒死咗咪？,0
GroupHelpBot,Welcome bo liu!,0
homelala,"https://youtu.be/MGf9GoFmvss?si=m19jhdVycCR3TnfI

#113 國慶
#自由民主和平
#臺灣加油
#臺灣新世界
#世界新臺灣
🥳👍🏼🥳👍🏼🥰👍🏼",0
MMCDR,有房出租,0
arrowkong,https://www.instagram.com/p/DA5i9Eguf2c/?igsh=MTNqbHJncnZqMGNvNw==,0
homelala,有少少遠，不過都想推下俾大家🙇🏻‍♂️,0
homelala,https://www.facebook.com/share/p/i4SLBNQjSQBmx4Pj/?,0
homelala,https://www.facebook.com/share/p/i4SLBNQjSQBmx4Pj/?,0
homelala,"// 本周四是中華民國成立113周年，台灣總統賴清德上周六（10月5日）首次以總統身份在台北出席雙十國慶晚會，並發表「祖國論」，指按年紀來說中華人民共和國不可能成為中華民國人民的祖國，兩萬現場群眾拍爛手掌歡呼，國際社會立即沸騰，中國官方反過來失語至少48小時。這是賴清德「領土完整論」令中共啞子食黃蓮後，「賴神」再在兩岸認知戰上大顯神通，令他3日後的首次雙十演說公眾期待指數大升。//

【台灣雙十節｜中華民國113歲vs比中華人民共和國75歲   賴清德「祖國論」秒殺   北京又食黃蓮】
 
全文請到《追新聞》網站閱覽
https://thechasernews.co.uk/台灣雙十節｜賴清德祖國論秒殺北京又食黃蓮/

#賴清德 #中華民國 #中華人民共和國 #祖國論 #祖國  #台灣 #中共 #TheChaser #追新聞
 ======================
🌟加入YouTube頻道會員支持《追新聞》運作🌟
https://www.youtube.com/channel/UC5l18oylJ8o7ihugk4F-3nw/join

《追新聞》無金主，只有您！為訂戶提供驚喜優惠，好讓大家支持本平台，再撐埋黃店。香港訂戶可分享給英國親友使用。

優惠詳情：https://thechasernews.co.uk/追新聞訂戶注意-新黃店優惠嚟啦/

報道無罪 知情有價 請即訂閱《追新聞》：
💰 Patreon｜https://www.patreon.com/thechasernews
💰 Stripe｜https://buy.stripe.com/7sI8zwgoA9HZ3Cg6oq
🔗 網站｜https://thechasernews.co.uk/
📺 YouTube｜https://www.youtube.com/channel/UC5l18oylJ8o7ihugk4F-3nw
📷 Instagram｜https://www.instagram.com/the_chaser_news
🌐 Facebook｜https://www.facebook.com/the.chaser.news
💬 Telegram Channel｜https://t.me/the_chaser_news
☕️ ko-fi｜https://ko-fi.com/thechasernews",0
homelala,"中國近代史，誰是國父、誰是祖國、誰是賊匪⋯⋯
係我地呢代香港人要好好認清，唔好俾騙徒令大家混淆嘅功課📚😂",0
homelala,"如果未join : 

https://t.me/c/1943827743/1",0
UK852Gardens,"各位谷友大家好🤗
本人提供Nottingham，Derby及周邊地區
花園護理 花園造景
草皮護理
花園工程
花園鋪磚
花園平台搭建
花園清理
高壓水槍清潔
植物病蟲害處理等服務
歡迎查詢
另外 如對園藝方面 有任何疑難
歡迎DM提問 樂意解答
Facebook: https://www.facebook.com/852Gardens
IG:  https://instagram.com/852gardens
Signal或WhatsApp: +44 7933688099",0
arrowkong,,0
,"「新樓與舊樓的驗樓指南：
從RICS測量報告到Snagging檢查」

簡介：
無論是新樓還是舊樓，驗樓都是購房過程中的關鍵環節。在本講座中，我們將深入探討RICS測量報告的三個層級，以及這些報告如何幫助買家評估舊樓的狀況。講座將涵蓋如何根據不同需求選擇合適的測量師，使買賣過程中最大限度地保護自己的投資。

同時，介紹新樓的Snagging檢查範圍，幫助你了解如何確保新建房屋的施工質量。

歡迎報名
https://forms.gle/AGc635J6X4dVhhyP8

#hkpcic #surveyors #snagging #rics #買賣樓宇須知 #香港專專業人士協會 #測量師 #網上講座",0
,https://youtu.be/6cgy8YvL00A?si=sQKZxUFOuL6EYS1O,0
,https://youtu.be/n4Flcllu9WA?si=N86TpoJ6WeJkN0YG,0
,,0
,,0
,農曆年Sheffield 有粵劇呀,0
,https://youtu.be/8i9r7jBoIFw?si=2zJX8LEjAlpah8N0,0
junn1gram,是咪要搞搞佢,0
junn1gram,,0
junn1gram,對上一次收Gas已經係8月,0
junn1gram,突然發覺Octopus一直show唔到Gas個reading,0
lee_cheongsan,"【用Octopus的用戶有福了！】

自家製一Click即睇實時Argile電費。

唔使Login，唔使左襟右襟，真正一Click即睇！係一Click即睇呀呀呀呀。

仲可以睇埋隔離區價錢添！

https://play.google.com/store/apps/details?id=octopus.energy.pricechecker",0
lee_cheongsan,,0
MiniCxx,,0
,https://youtu.be/O_FnItqO6nM?si=xk7Zqp3SVVc53GGs,0
edmondyml,,0
,有時間去睇呢個展覽,0
,"📣隨時隨地即玩即贏，一指贏取財富
📲極速註冊即時贏錢: sbhk1129.com
🔥首充入$1000即送$1000💰
🎲每日無上限返水2.5%
🎲升級獎金高達$18888
🎲每週累積儲值獎金$3888
🔸免費註冊🔸  sbhk1129.com

📲過百款賭場遊戲，5秒到帳💰
💰USDT充值每筆送3%
🔸領取優惠及查詢🔸 wa.me/85255942234
🧿遊戲介紹Website： shibo306hk.com",0
,https://youtu.be/i-qpSeBzcyw?si=4aIYSEp9ar17OfKl,0
,"📣隨時隨地即玩即贏，一指贏取財富
📲極速註冊即時贏錢: sbhk1129.com
🔥首充入$1000即送$1000💰
🎲每日無上限返水2.5%
🎲升級獎金高達$18888
🎲每週累積儲值獎金$3888
🔸免費註冊🔸  sbhk1129.com

📲過百款賭場遊戲，5秒到帳💰
💰USDT充值每筆送3%
🔸領取優惠及查詢🔸 wa.me/85255942234
🧿遊戲介紹Website： shibo306hk.com",0
,"📣隨時隨地即玩即贏，一指贏取財富
📲極速註冊即時贏錢: sbhk1129.com
🔥首充入$1000即送$1000💰
🎲每日無上限返水2.5%
🎲升級獎金高達$18888
🎲每週累積儲值獎金$3888
🔸免費註冊🔸  sbhk1129.com

📲過百款賭場遊戲，5秒到帳💰
💰USDT充值每筆送3%
🔸領取優惠及查詢🔸 wa.me/85255942234
🧿遊戲介紹Website： shibo306hk.com",0
,,0
Counsellingming,"https://www.facebook.com/share/p/rPf9hFkqm8gq3BY2/

🔍 互動法庭：有你做陪審員，判決會否改寫？

請在11月17日前填寫以下 Google 表格報名參加。

https://forms.gle/QFC5hdj6heWbm9eH6

自香港實施國安法以來，社會氛圍急劇變遷，47人案成為了國際最具爭議的審訊之一，牽動無數港人，使我們無法置身事外。

透過這宗案件，讓我們思考一個問題：要有一個公平公正的司法制度，社會要有什麼條件呢？這些條件，離我們有多遠？而
這宗案件如有你的參與，結局會否不一樣？

🛎️活動重點：
1️⃣ 模擬47人案的審訊處境：參加者以旁聽席人士角度，重溫案件重點
2️⃣ 親身扮演陪審團角色：現場將隨機抽選三組觀眾，擔任「陪審員」，參與對案件的判決。

日期：11月23日
地點：National Justice Museum NG1 1HN
時間：13:30開場
名額：限100人參加，免費入場
語言：廣東話

免費參加，但由於場地租金昂貴，如你已報名但無法到場，請提前通知。當天活動現場將設有現金捐款箱，歡迎有心人士支持。

🔍 Trial Reenactment: What If, You Were the Jury? 

Since the implementation of certain laws in Hong Kong, the social atmosphere has rapidly shifted. The HK47 trial has become one of the most internationally controversial cases, touching the hearts of countless Hong Kongers. This event will recreate a courtroom scenario, allowing participants to rethink the fairness and legitimacy of the judicial system, and take part either as an observer or as a member of the jury.

*Please note the reenactment will be delivered in Cantonese

Capacity: 100 people

Please complete the google form below by November 17, 2024 to register.

Date: November 23, 2024 (Saturday)
Location: Civil Courtroom, National Justice Museum NG1 1HN
Time: 13:30 (one session only)",0
,https://youtu.be/sW7eqP53CBA?si=8i8es7BtNnMeA4YS,0
,https://youtu.be/q_FfPrnDDkQ?si=FgN9M-A5RKxrS6kE,0
,"大家有沒有發現十月的英國早上，冷風陣陣，溫度急劇下降? 迎接英國秋冬，記得給身體和肌膚滋潤，補充水份，給自己肯定句，我是值得被愛，值得擁有的!  十月9號Amazon Prime Sales 折扣今晚快結束啦😇！

我已經替大家貨比三家，精選出最值得入手嘅秋冬必備保健品同護膚品，幫你喺短短1分鐘內搵到最抵嘅優惠！無需浪費時間，因為我已經為你整理好Amazon Prime Day嘅保健品，護膚品折扣啦！

✅英國十月Amazon Prime 秋冬必備健品護膚折扣 (上集) 
👇
https://www.lifeofuk.com/2024-amazon-prime-autumn-sale-guide/ 
✅英國十月Amazon Prime 秋冬必備家居食品折扣 (下集)!  
👇
https://www.lifeofuk.com/amazon-prime-day-october-sales-part2/

˚˖𓍢ִ໋🍃✧˚.💚⋆ 入手呢啲筍貨唔單止可以幫你節省時間同金錢，仲可以提升你日常生活嘅舒適感! 希望大家都可以趁住呢次優惠為自己增添啲舒適嘅小確幸，我自己都已經入手準備好啦💛～",0
,"住薄扶林的朋友仔睇下似唔似
https://youtu.be/75KlRM69eG4?si=_E1YGzikyhPW17Ag",0
,https://youtu.be/D5r9Fa80LDo?si=ZJhHOFwuykDoGjfb,0
Aqabu,https://youtu.be/6cgy8YvL00A?si=xQayea3rjJJbEV-e,0
Aqabu,https://youtu.be/n4Flcllu9WA?si=Ku-wil1jR2pMcEtX,0
kevinlaw1984,"on 9, 交成晚稅
我立即問稅局，佢話我文件吾齊。
咁我就同太太重申填好，我同太太加小朋友 父母就不用我拱 再交文件
再次收到信都係要交兩萬幾 有冇攪撚錯",1
MilkySylvia,"4天工作周 冰島試推數年成效顯著 「失業率歐洲最低」經濟成長超越多國
https://lih.kg/3810904
- 分享自 LIHKG 討論區",0
GeraldG0,遲早都會，只係唔知幾時😅,0
Aqabu,https://youtu.be/8i9r7jBoIFw?si=TPiyCoELObfzBJAE,0
ReStarYH,2.75 % 好大諗頭,0
Produnkcan,"英國利息將跌至2.75%, Goldeman Sachs預測 
https://hkmigrate.com/thread/3301729599331 
英國台 - 香港移民論壇",1
Aqabu,https://youtu.be/O_FnItqO6nM?si=quL9IlJx3BOgHI1A,0
Aqabu,😂😂https://youtu.be/i-qpSeBzcyw?si=H060t5JkGIPgmPwy,0
kevinlaw1984,"7 x 24,冇甚麼作為
你做support 兩，三年評估自己發展路向",0
john_smith_hk,"<IT- infrastructure>
Shift Engineer

East London

£43,000 - £46,000 (OTE £65,000+) + Bonus + Travel Allowance + Training + Holidays + Technical Progression + Shift Pattern 4 on 4 off + Data Centre Industry + Progression + Healthcare + Pension

Join one of the biggest companies in the Data Centre industry worldwide as a Shift Engineer working on cabling and develop your career within exciting multi-million pound projects based in East London. Work for a company who will give you consistent training and development and will mould you to become great at what you do! You will be recognised as a specialist within the data centre industry working alongside an exceptional team.

Work closely with the senior managers who will pave the way for you to become highly skilled and knowledgeable in a multi billion pound industry. As a Shift Engineer you will become a key member of the team in London and ensure the cabling projects are complete to a high standard.

As A Shift Engineer You Will Have:

* Experience with fusion splicing, copper termination, and testing and fault-finding on all cable types
* Prior experience within the Telecommunications or Data Centre industry.
* City and Guilds qualification or BTec equivalent

Your Role As A Shift Engineer Will Include:

*  Installation, preparation, splicing and testing of single mode and multimode optic fibre
*  Testing and labelling all cable installations
* 4 days on / 4 days off, 12 hours night / day shift

Email at :Dea@futureengineer.co.uk",0
john_smith_hk,Children under,0
Aqabu,正！,0
Aqabu,https://youtu.be/sW7eqP53CBA?si=SFytvauVIA5yLW4v,0
zxc78w,如果你英文唔錯，可以考慮開高啲，因為曼城 IT 工多數用英文溝通。,0
,"各位好👋，小弟20歲頭，IVE畢業，剛到步曼城，想揾份IT工。小弟有一年工作經驗，曾經於香港PCCW的NOC做7*24 Operator，人工大約係HKD$22,000。想問各位前輩搵工有冇建議？人工應該開幾多？",1
kevinlaw1984,執10吾開就真,0
kevinlaw1984,執10開16係呃九人,0
kevinlaw1984,"香港點生活，正仆街
迫人走 所以勁多人破產
一係吾還以後吾番來",0
GeraldG0,唔係通常用 GitHub copilot?,0
zfanman,有無人用緊 Cursor AI gen code?,0
UsernameUndefined,"間間公司都搞大陸dev center
25k 都覺得你貴。。。",0
Aqabu,https://youtu.be/q_FfPrnDDkQ?si=28oinbrrbuvb7q--,0
Aqabu,"住薄扶林的朋友仔睇下似唔似
https://youtu.be/75KlRM69eG4?si=UppqFMVBYzBiqe-G",0
pp99811,有無人做過EXL?,0
kevinlaw1984,這幾年發生好多事，可恨我是兩歲來講 只能選擇加拿大。。。 英國已經冇運,1
kevinlaw1984,"我仲有幾個月就完成degree,但因為之前失業了大半年
已經同身邊家人關系好差",1
kevinlaw1984,你當返通宵,0
kevinlaw1984,yes,0
irapthegov,remote返香港咁係咪跟香港時間？,0
kevinlaw1984,以家想學Cloud,0
kevinlaw1984,我一早已轉了做system engineer,0
rexwongwh,加油,0
rexwongwh,人工起碼高一倍,0
rexwongwh,整返張 cert,0
rexwongwh,所以如果你仲諗住食Support條水， 你應該努力一啲做Network security,0
GeraldG0,最多人搵可能係 reset password? 😅,0
rexwongwh,基本上冇咩嘢做,0
rexwongwh,跟住仲要駁埋office 365,0
rexwongwh,"其實今時今日都冇乜support需要啦，以前又要搞Server又要砌機！ 而家最主要就係搞掂我VPN。 server都可以cloud, 一般Lenovo嗰啲枱頭或者Notebook都已經唔使點樣做嘢",0
rexwongwh,"Indeed,同香港冇分別",0
Aqabu,https://youtu.be/D5r9Fa80LDo?si=YHQqyYJaOf8HWD5W,0
GeraldG0,做 support 人工會低啲？,0
kevinlaw1984,senior....下滑到25K,0
kevinlaw1984,,0
kevinlaw1984,但最好就吾好,0
kevinlaw1984,其實都有不少人走數，移民走了,0
GeraldG0,唔知香港申請你破產會唔會搞到喺英國入唔到藉🙄,1
GeraldG0,應該唔太差啩,0
kevinlaw1984,問題英國搵工係點,1
kevinlaw1984,佢再迫我，我吾撚還 移民英國吾返來,0
kevinlaw1984,但最可恨仆街武漢害到要月拱還錢,0
kevinlaw1984,"係，我身邊都有部份朋友移民了 後先講出來 
但佢份工都係香港remote 做",0
GeraldG0,走啦，呢個谷應該都好多人走咗去英國,0
kevinlaw1984,已經係去到迫人走地步，物價高人工追吾到 已經假期改北上，因為比吾起香港消費,0
kevinlaw1984,"做番私人工作，好忙好chur
人工少了不少。。好辛苦
香港市道超差，工作要求高
人工就返跌。。。",0
pp99811,應該都有一半啦至少,0
Unknown,有幾多巴打喺倫敦?,1
Unknown,https://www.google.com/amp/s/metro.co.uk/2024/09/30/putins-mouthpiece-warns-dictator-unleash-london-nuclear-attack-21704675/amp/,0
GeraldG0,點解呀？,0
kevinlaw1984,但做得吾係太開心,1
zfanman,有無人用AI gen REST endpoints?,0
GeraldG0,你覺得太少？😅,0
JKyyy,linked with my github profile and publications,0
kumamoto_fatyeah,siu4,0
cowmarket2begin,150k gbp tc😱,0
john_smith_hk,"26歲 倫敦做IT9 £100k+ 你問我答
- 分享自 LIHKG 討論區
https://lih.kg/3795065

#大英祖國",0
zfanman,有無人用緊Golang寫micro services?,0
GroupHelpBot,"Hi, 昂啾啾 滑凸🎤 謝謝加入，歡迎分享及討論有關BNO問題及移英生活，請訂閱",0
zfanman,#網上食熱狗 #偽社運友 #圍爐自瀆天下無敵 #縮喺後面無撚得輸 #食住花生等睇戲 #睇人仆街最開心 #熱狗入理大坐緊照屌 #食熱狗朋黨入建制唔屌 #私怨大過天 #耍無賴專家,0
zfanman,贏得？！,0
zfanman,,0
zfanman,特朗普喺賓州比起上次多咗近44萬票，而上次只輸8萬票，預測會大勝。有Elon Musk喺度坐陣，民主黨想「動L」會有啲難度~ 😁,0
World_1212,"👀👀👀👀

#澳洲 參議員揭露 #世界衛生組織 和 #聯合國 的兒童誘騙議程。

  我提請參議院注意 #聯合國、#世界衛生組織 目前試圖誘騙兒童的行為。這篇演講是我在「旁觀者線上」上發表的關於這個主題的長篇文章的一部分。

**  世界衛生組織為衛生和教育政策制定者制定了一個框架，稱為「****#歐洲**** 性教育標準」。就在上個月，世界衛生組織試圖將這項議程擴展到全世界，但目前未能獲得足夠的數據。**

**  聯合國不甘示弱，有一個補充框架，稱為「國際性教育指導」。世界衛生組織和聯合國首選的框架要求性教育從出生開始，並在國家而不是父母的指導下進行。**

  用他們自己的話來說，「這個框架旨在賦予兒童和年輕人權力，讓他們發展相互尊重的性關係。這些技能可以幫助兒童和年輕人與浪漫或性伴侶建立相互尊重和健康的關係。

  到 4 歲時，孩子將具備生物生殖和性知識，足以區分** 異性戀** 和 #同性戀 行為。並且他們將被教導關於同意的知識。 」

「到6歲時，兒童將接受有關性交、自慰和色情的教育。到9歲時，這些將被真正教授，目的是獲得成人知識，假設這些9歲的孩子已經有了第一次性接觸。 」

  好吧，他們現在會的。到12歲時，世界衛生組織將把所有這些知識置於適當的政治背景中。從而摧毀我們的孩子擁有充滿愛的一夫一妻制關係的機會。兒童是易受影響的，在他們早期的成長時期可能會留下終生的傷疤。

  成人性內容在兒童教育中沒有地位，就像這些怪物所提出的。
是時候離開聯合國及其機構已經成為的變態天堂了。

https://t.me/SGCovidChineseInfo/7275

#LGBTQ #變性 #性別議程",0
SangMata_BOT,User `1857420816` changed name from Cat 🐱 to Yee 🐱,0
,https://youtu.be/n4Flcllu9WA?si=N86TpoJ6WeJkN0YG,0
GroupHelpBot,"Hi, 雯雯 謝謝加入，歡迎分享及討論有關BNO問題及移英生活，請訂閱",0
zfanman,#社混垃圾 #慶祝國慶 #吹蕭盲粉 #瘋狂狙擊 #對賭裸跑 #打MMA #二抽一 #上律師樓 #誅心論 #柒完改戶口名過冷河 #縮骨友忽然話上擂臺 #千字文 #圍爐自瀆天下無敵 #佢話係就係 #批鬥煽動 #華人基因 #縮喺後面自稱有頭有面 #現實唔敢撻朵話係網上食熱狗之流 #明係戇鳩仔,0
zfanman,#西環趕膠所 #專出社混垃圾 #何為行內 #狗針 #入埋建制 #探監扮代表 #見光死 #屈熱狗咁屈 #反共被屈共狗 #識事務者為永財 #訓喺度都贏 #無人識佢 #區佬唔係聖人,0
World_1212,,0
World_1212,,0
World_1212,"**BOOOM!!! The BRICS Currency Note Presented to Putin: The BRICS Currency Note A Revolution in Motion**

The BRICS Currency Note**, presented to Vladimir Putin**, is set to be a game-changer in the global financial arena. BRICS Currency Note has emerged, signaling the BRICS nations’ intentions to challenge the supremacy of the U.S. Dollar as the world’s reserve currency. 

**BOOOOM!!! The BRICS Currency Note: A Game-Changer in the Global Financial Arena!**

https://amg-news.com/booom-the-brics-currency-note-presented-to-putin-the-brics-currency-note-a-revolution-in-motion/

[Share on 𝕏 (Twitter)    ](https://twitter.com/intent/tweet?url=https://amg-news.com/booom-the-brics-currency-note-presented-to-putin-the-brics-currency-note-a-revolution-in-motion/)

Join Us: https://t.me/AMGNEWS2022
View More News Here: https://amg-news.com",0
,"The most dangerous food.

Join: @RevealedEye",0
,https://youtu.be/8i9r7jBoIFw?si=2zJX8LEjAlpah8N0,0
zfanman,,0
zfanman,"西環趕膠所出品 必屬""街""品 成班社混垃圾仆街仔 (道友蛋, BNO參軍吹蕭域, 本記渣數人JOYKWAN, 本記打手本小姐, 中大電郵, 蒸魚安, 李永財, ETC) 唔止做狗針 重有人搵食搵到入建制 佢果期選啱區攝入去訓喺度都嬴 事實我就係去天后區常客 我問十個 十個都唔識佢 照羸 講真 唔好撚以為選到做388泛民區佬=聖人 根本一樣可以係仆街冚家剷",0
,"Apple Iphone IOS update alert......what are they up to now!?

**Follow Us -> **[**Conspiracy Theory👤**](https://t.me/+JZpnx6pIckA2ZTUy)",0
Produnkcan,"英國利息將跌至2.75%, Goldeman Sachs預測 
https://hkmigrate.com/thread/3301729599331 
英國台 - 香港移民論壇",0
,https://youtu.be/O_FnItqO6nM?si=xk7Zqp3SVVc53GGs,0
World_1212,the french mocked Jesus during their pedo olympics... well Jesus was quick to respond... the french will be cursed FOREVER....,0
zfanman,,0
zfanman,"我認我笑位比較低。不過呢個Go back to China 真係好笑

https://youtu.be/n0BW7P9yiPU?si=PdYcAkFlXOt7me2v",0
zfanman,deep state出大絕啦 一係暗殺 一係出千,0
zfanman,"特朗普大炒賀大媽近20個百分點！🔥🔥🔥

上次民主黨做票有廢炎lockdown、shadow campaign、ballots harvesting... 「贏」得已經有啲勉強；今次乜都冇，可能得番Dominion，民主黨夠唔夠膽下下「動L」呢？ 🤔",0
GroupHelpBot,"[Евгения](tg://user?id=7004657193) [`7004657193`] to be accepted in the group, please, your name and surname must not have Russian characters. 
**Action:** Kicked ❗️",0
ssfanman,#吊打吹蕭域案例 #御林軍港女 #殺鬼隊 #台灣軍訓 #武器流出 #迫佢犯軍規 #龍門任搬 #報警撚 #扮大佬 #吹水唔抹咀 #賭切柒,0
GroupHelpBot,"[Полина](tg://user?id=6012841878) [`6012841878`] to be accepted in the group, please, your name and surname must not have Russian characters. 
**Action:** Kicked ❗️",0
SangMata_BOT,User `7776477379` changed username from loki869847 to -,0
SangMata_BOT,User `7776477379` changed name from Rew C to,0
SangMata_BOT,User `7435861884` changed username from Gbdexvpeczq326 to -,0
SangMata_BOT,User `7435861884` changed name from Smnn5 Qlkbcv to,0
winonfire,整臭晒啲地方,0
winonfire,呢度點解有小粉紅？,0
winonfire,樓主踢呢班仆街走啦,0
,"台大政治系教授明居正说的一针见血： 全球都在反共， 我们自己不反共了， 这是滑天下之大稽。 如果不反共了， 当时逃到台湾来干什么？ ……

**欢迎您加入** 🥗[『视讯快报』](https://t.me/shixun160)",0
,https://youtu.be/i-qpSeBzcyw?si=4aIYSEp9ar17OfKl,0
SangMata_BOT,User `6170190410` changed username from peakethe to -,0
SangMata_BOT,User `6170190410` changed name from 喆儿 to,0
